Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1,9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
2,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
3,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
4,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
5,9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
6,10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7
7,7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5
8,6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
9,11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
10,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6
11,8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,5
12,7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6
13,10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7
14,6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,6
15,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,5
16,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
17,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
18,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,5
19,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
20,6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6
21,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5
22,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6
23,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
24,7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5
25,9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,6
26,6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6
27,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
28,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
29,9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,5
30,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
31,10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6
32,12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
33,8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,7
34,10,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7
35,6.1,0.6,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11,5
36,7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,6
37,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
38,10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7
39,6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
40,6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4
41,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5
42,15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
43,6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
44,7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5
45,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5
46,7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7
47,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
48,12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
49,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
50,9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5
51,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
52,6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,6
53,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
54,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
55,7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5
56,7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
57,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
58,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,6
59,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
60,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6
61,11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5
62,8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
63,6.8,0.64,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,6
64,10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,8
65,8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6
66,7.8,0.54,0.26,2,0.088,23,48,0.9981,3.41,0.74,9.2,6
67,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
68,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
69,12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6
70,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5
71,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
72,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
73,10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6
74,9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,6
75,12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7
76,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8
77,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
78,11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
79,6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,5
80,6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5
81,6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5
82,8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5
83,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6
84,8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,5
85,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
86,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
87,8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4
88,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6
89,8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5
90,6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
91,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,6
92,6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5
93,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
94,10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
95,8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,6
96,7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5
97,9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7
98,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5
99,8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6
100,8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
101,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
102,7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5
103,6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
104,6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6
105,6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5
106,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5
107,7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8
108,9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7
109,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
110,8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6
111,9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
112,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,6
113,8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5
114,6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
115,6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5
116,10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,6
117,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
118,9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
119,12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
120,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
121,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5
122,7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5
123,6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5
124,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
125,8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,5
126,8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,5
127,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
